# -------------------------------------------------------
# ---- CSV created by:  mightymerge.io                   
# -------------------------------------------------------

"and smelling, they have been adapted for the production",
of the speech sounds of any human language. But,
human languages are different in terms of their sound,
"inventories. The point is, each language has its own",
number of sounds which are combined in a number of,
indefinite patterns according to its own phonological,
rules. This is what makes each language unique as,
"systematic patterns of structure, and perhaps why",
"English uses forty-four sound segments, French forty,",
"Italian twenty-seven, Yoruba twenty-seven and Hawaiian",
only thirteen.,
There are four basic approaches to the study of speech,
"sounds. These are articulatory, acoustic, auditory and",
forensic. Articulatory phonetics studies how speech,
sounds are made or articulated. Acoustic phonetics,
studies the physical properties of speech as sound,
waves in air. Auditory or perceptual phonetics studies,
the perception of speech sounds via the ears. The,
forensic phonetics studies speech sounds in the form,
of recorded utterances used for identifying a particular,
"speaker, especially in a legal case.",
The articulatory approach helps the user of English as,
a second language to understand how the sounds of,
English are articulated as well,
as their basic charac-,
teristics. This knowledge may help to improve their,
pronunciation,
competence or fluency in the actual use of,
the language. It may also improve the degree of intelli-,
gibility of their utterances and therefore their communi-,
cative competence.,
"According to Yule in his book Introduction to Language,",
phonology is concerned with the abstract or theoreticai,
aspect of speech sounds while phonetics is concerned,www.myschoolgist.com
"with their actual physical articulation. Thus, by studying",
the systems and patterns of speech sounds in a,
We are actually studying phonology. It is pho-,
"Rology that explains the underlying design, the blue-",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"print of the sound type, which provides the basis for all",
the variations in different physical articulations of that,
sound type in different contexts.,
"6. According to the passage, which of the following",
describes the perception of speech sound?,
"language,",
A. Acoustic,
B. Auditory,
C. Articulatory,
D. Forensic,
"7. From the passage, the purpose of describing a lan-",
guage as a system is to show that,
A. all human languages are the same in every,
sense.,
B. human languages are different at the phono-,
logical level,
C. every human language has its own separate,
patterns of structure at all levels,
D. human languages are too complex to under-,
stand at any level,
"8. What distinguishes a language from another, accor-",
"ding to the passage, is",
A. its finite number of sounds,
B. the indefinite nature of its patterns,
C. its communicative and other purposes,
D. its linguistic description at all levels,
9. The style of the passage could best be described,
A expository,
B. descriptive C. narrative,
D. argumentative,
"10. The expression systematic patterns of structure,",
"as used in the passage, means that language",
A. is an interconnecting network of structures,
B. is made up of organized phonetics and phono,
logy,www.myschoolgist.com
"C. is a network of morphology, syntax and seman-",
tics,
"D. comprises similar phonetics, phonology, mor-",
"phology and semantics,",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

PASSAGE III,
"Schizophrenia is a chronic, severe, and disabling brain",
disease. Approximately one per cent of the population,
develop the disease Curing their lifetime. Although,
schizophrenia affects men and women with equal,
"frequency, the disorder often appears earlier in men,",
"usually in the late teens or early twenties than in women,",
who are generally affected in the twenties to early,
thirties. People with the disorder often suffer terrifying,
symptoms such as hearing internal voices not heard,
by others or believing that other people are reading their,
"minds, controlling their thoughts or plotting to harm",
them. These symptoms may leave them fearful and,
withdrawn. Children over the age of five can develop,
"the disease, but it is very rare before adolescence.",
People with schizophrenia may have perceptions of,
reality that are stnkingly different from one seen and,
shared by others around them. Living in a world dis-,
"torted by hallucinations and delusions, individuals with",
"the disease may feel frightened, anxious and confused.",
Hallucinations are perceptions that occur without con-,
nection to an appropriate source Delusions are false,
personal beliets that are not subject to reason or contra,
dictory evidence,
Substance abuse is a common concern of the family and,
friends of people with schizophrenia as it can reduce the,
effectiveness of treatment of the disease. Stimulants,
such as cocaine and marijuana may cause major prob,
"lems for patients with schizophrenia In fact, some",
people experience a worsening of the symptoms when,
they take such drugs. Substance abuse also reduces,
the likelihood that patients will follow the treatment plans,
"recommended by their doctors,",
The most common form of substance used disorder in,
people with schizophrenia is nicotine dependence due to,
smoking. Quitting smoking may be especially difficult for,
people with schizophrenia because the symptoms of,
nicotine withdrawal may cause a temporary worsening,
"of the disorder symptoms. However, smoking cessation",www.myschoolgist.com
strategies that include nicotine replacement methods,
may be effective. Doctors should carefully monitor medi-,
cation dosage and response when patients with the dis-,
ease either start or stop smoking. The large majority of,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

people with the disease show substantial improvement,
"when treated with antipsychotic drugs. Some patients,",
"however, are not helped very much by the medications",
and a few do not seem to need them. It is difficult to,
predict which patients will fall into these two groups.,
"Antipsychotic drugs, like virtually all medications, have",
unwanted effects along with other symptoms. During,
"the early phases of drug treatment, patients may be",
"troubled by side effects such as drowsiness, restless-",
"ness, tremor, dry mouth or blurring of vision. Most of",
these can be corrected by lowering the dosage or con-,
trolled by other medications.,
11. One conclusion that can be drawn from the first para-,
graph is that,
A. only children suffer schizophrenic disorder.,
B. the time of occurrence in men and women differs.,
C. women suffer the disorder in their early twenties.,
D. men suffer the disorder in their early thirties.,
12. Which of the following is true according to the pas-,
sage?,
A. Schizophrenic disorder affects only the menfolk.,
B. Schizophrenic disorder develops only in the,
womenfolk.,
C. Patients with schizophrenia like to keep to them-,
selves than stay with others.,
D. Children develop the schizophrenic disorder,
after adolescence.,
13. Which of the following statements is true of the,
concept of delusions in the second paragraph?,
A. The believe in distorted claims.,
B. The expressions of personal beliefs.,
C. The evidence of reasoning and contradictions.,
D. The believe in unsubstantiated claims.,
"14. From the passage, it can be inferred that",
A. family members and friends avoid schizophrenic,
patients.,www.myschoolgist.com
B. cocaine and marijuana are good stimulants for,
patients.,
C. substance abuse may assist a patient's healing,
process.,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

D. Some drugs slow down a patient's healing pro-,
cess.,
15. The expression Living in a world distorted by hallu-,
cinations means,
A. the world of sound and intellectual thought,
B. the expression of ideas that do not have bases,
C. a patient's expression of connected ideas,
D. the world is very unfair to schizophrenic patients.,
PASSAGE IV,
The passage below has gaps numbered 16 to 25.,
"Immediately following each gap, four options aro",
provided. Choose the most appropriate option for,
each gap.,
The economic miracle of the so called Asian Tigers,
was subject to much debate and analyses in the early,
1990s among economists. There was basically two,
Schools of .... 16.... (A. reasoning B. Ideas C. practice,
"D. thought]. One, that the Asian Tigers'economic miracle",
was a case of 'miracles beyond the free market' and so,
"to repeat such miracles or something near it, do not",
leave the ... 17... [A. economy B. structure C.,
miracle D. analyses) to the invisible hands of the free market,
with its sometimes profoundly anti-social overtones,
"There was a place for, and indeed a great virtue in",
state ... 18... (A makers B. intervention C. persuasion,
D. enforcement). The other group ... 19... (A syntheized,
B. analysed Ć. believed D. recommended) that,
it was not so much a miracle that was either beyond the,
"free market or, for that matter, one induced by the equally",
"unpredictable, even if visible, hands of politicians and",
policy ...20... [A. deciders B. masters C. executors,
makers). The Asian .21... [A. experience B. practice,
"C logic D. method, was rather one of a cultural phe",
nomenon blending with good policies to produce a de,
lightfully desirable spectacle of progress and ...22... (A,
purpose B. affluence C. prospect D. prosperity,
The concern of the economists was how to safely...23.,
[A. prescribe B. gauge C. stimulate D. re-orientate,www.myschoolgist.com
and then apply the Asian prescription to replicate such man,
made miracles in many other countries of the world,
enduring the ... 24... (A. anger B. risk C. throes,
D. punishment of unrelenting and ..25... [,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

Amomen-,
tous B. compelling C. scorching D. aggravating),
poverty.,
"In each of questions 26 to 35, select the option that best explains the information conveyed in the sentence.",
26. The court brought out the fact that the elections were,
not free and fair,
The court said that the elections were not rigged,
B. The court explained that the elections were,
not marred,
C. The court made it clear that the elections were,
not flawless,
D. The court saw that the elections were properly,
conducted,
27. The computer operator was sacked for incompetence,
A. The computer operator was sacked for his foo,
lishness,
B. The computer operator was sacked for his lazı-,
ness,
C. The computer operator was sacked for lack,
of skill,
D. The computer operator was sacked for lateness,
28. He was a member of the think tank of the previous,
administration,
"A. As an expert, he criticized government",
B. He was an expert who gave advice to govern-,
ment,
C. He was an expert that government did not listen,
to,
D. As an expert government must have taken to,
his advice,
"29 In spite of various criticisms, Bala sticks to his guns",
"A. ","Bala always goes out with his guns, ready to kill."
B. People do not like Bala because he is violent,
C. Bala is criticized because of his bad behaviour,
towards people,www.myschoolgist.com
D. Bala adheres to his beliefs even when others,
do not agree with him.,
30 Chike plays to the gallery whenever he meets a,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

group of people,
A. Chike plays well with people at the gallery,
B. Chike likes to play with people,
C Chike seeks cheap popularity,
D. Chike shows distrust and hatred to people,
31. He kept a stiff upper lip over the accident.,
A. He sustained injury on his upper lip.,
B. He endured the misfortune with courage.,
C. He could not talk because of the accident.,
D. His friends deserted him because of the acci-,
dent.,
32. He had travelled the length and breadth of Africa.,
A. He must have travelled to some big cities of Africa,
B. He had travelled to many parts of Africa.,
C. He had travelled to all parts of Africa.,
D. He had travelled to all the villages and towns,
of Africa.,
Her dress got torn because of the snake - like,
33. She wriggled out of her wedding gown,
A. She could not take off her gown herself so she,
,was assisted.
B. her dress got torn because of the snake-like pattern,
C. No one could have imagined that her dress was,
so tight,
D. It took her some time to remove her close-fitting,
dress.,
34. Visitors who are observant do not outstay their wel-,
come.,
A. All visitors must be alert so as to know when,
to leave a place.,
B. Some visitors know when to leave a place so,
as to make their hosts happy.,
C. Some visitors are unable to know when their,
hosts do not want them around.,
"D. All visitors except a few, know when to leave a",
place.,www.myschoolgist.com
35. The group had been made a scape goat during the,
event.,
A. Members of the group had been punished for,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

a sin that they did not commit.,
B. Members of the group had been blamed for a,
sin that they committed.,
C. The group had been punished so that no one,
would commit the sin again.,
D. The group had been blamed merely to serve,
as a deterrent to others.,
"In each of the questions 36 to 50, choose the option opposite in meaning to the word or phrase in italics.",
36. Sola is apathetic about his work.,
A. indifferent B. enthusiastic C. half-hearted D. bored.,
37. The members of the family had a hasty breakfast,
before starting out on their journey.,
A. hurried,
B. leisurely,
C. tasty,
D. nasty.,
38. The poverty level among the masses is unbearable.,
A. arrogance,
B. saturation,
C. affluence,
D. influence.,
39. The chairman was accused of implementing policies,
that favoured the elite.,
A. oppressed,
B. executives C. jobless,
D. citizens.,
40. The manager was impressed by the man's eagemess.,
A. impatience B. indifference,
C. negligence,
D. calmness.,
41. He is known for making threadbare arguments as a,
scholar.,
A. justify,www.myschoolgist.com
B. baseless,
C. empty,
A. justifiable,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

42. The lecturer's obscure publications counted against,
him during the promotion exercise.,
A. widespread,
B. closed,
C. circulate,
D. restricted.,
43. The man found his wife physically repellant.,
A. attractive,
B. fatuous,
C. unpleasant,
D. flamboyant.,
"44. As an absolute ruler, Adayi brooks no opposition from",
his subordinates.,
A. a despotic dictator,
B. a shameless king,
C. a benevolent leader,
D. a magnanimous democrat.,
45. The response to the advertisement has been phenomenal.,
A. spiritual B. frightening C. unimpressive D. catastrophic.,
46. My father lived a spartan life before his death.,
A. extravagant,
B. peaceful C. 'quiet,
D. luxurious.,
47. Bola's parents went through an acrimonious divorce.,
A. a bitter,
B. an acrid,
C. a sour,
D. a peaceful.,
48. lliya's account of the incident is appalling.,
A. tasking,
B. fascinating C. horrifying D. ridiculous.,
49. She encapsulated her view of the nature of life in a,
poem.,
A. summed up,www.myschoolgist.com
B. explained,
C. expatiated on,
D. reflected.,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

50. We were held spellbound by his eloquence.,
A. Unimpressed B. freed C. deceived,
D. unenlightened.,
"In each of questions 51 to 65, choose the option nearest in meaning to the word or phrase in italics.",
51. We were at a loss to understand why Oli should,
retract his statement before the Judge.,
A. assert.,
B. repeat,
C. withdraw,
D. reiterate.,
52. The workers hope to appear before the arbitration,
panel to resolve the lingering dispute.,
"A. trial ",B. legislative C. investigative D. reconciliatory.
53. He went to the polls in defiance of sound advice,
and recorded an abysmal performance.,
A. surprisingly good,
B. disappointingly bad,
C. mediocre,
D. landslide.,
54. He was not able to withstand the attack from his immediate family.,
A. survive B. overcome C. match D. resist,
55. Your effort to bring peace between us is futile because,
you are biased.,
A. convinced B. clever d. C. prejudiced D. worried.,
56. Our front door is always kept ajar...,
A. locked,
B. sealed,
C. half-closed,
D. permanently open.,
57. His embroidery was an exacting task for the tailor,
A. an unwarranted,
B. an exciting,
C. a demanding,www.myschoolgist.com
D. a disturbing.,
58. The students' remontrances were rebuffed by the authority,
A. protests B. suggestions C. complaints D. regrets.,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

.,
59. I had to make my way through the throng of people,
in the church.,
A. group B. crowd C. gathering D. theme,
60. The man's wife has her misgivings about him.,
A. fears for B. distrust of C. hatred for D. love for,
61. Violent crime is only one of the maladies afflicting,
modern society,
A. damages,
B. illnesses,
C wounds,
D. crises.,
62. Ade has an aquiline nose.,
A. a large and curved nose,
B. a wide and straight nose,
C. a big and pointed nose,
D a small and attractive nose.,
63. Everyone was talking about the camaraderie in the,
club,
A. companionship,
B. quarrelsomeness,
C. commissioning,
D. disunity,
"64. 'You're impossible,' she said to me.",
A. unreasonable B. unforgiving C. daft D. strong,
65. I was being directed by my sixth sense all through,
the ordeal.,
A. intelligence,
B. judgement,
C. intuition,
D. imagination.,
"In each of questions 66 to 85, choose the option that best completes the gap(s).",www.myschoolgist.com
66. They... (A. would get B. would have got C. will,
have got D. had got wet if they had gone out in,
the rain,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

67. The students are still .... (A. very so B. much too,
C. very much D. much so) in the dark regarding,
the principal's decision,
69. Either the teacher or the students ... [A. is B. are,
C. has being D. are being] to blame,
70. I will pay my debt...... A. Instalmentaily B. by,
instalmentally C. in instalments D. in instalmen-,
tally),
71. You should anticipate and prepare for changes.....,
[A. that has taken place B. which takes place,
C. taking place D. that would take place] in,
your office,
72. The scholar examined. [A. three apart analysis,
B. a part-three analysis C. a three-part analysis,
D. three part analysis] of the subject,
73. The litigants finally opted.... [A. by an out of court,
B. in an uut-of-court C. to an out of court,
D. for an out-of-court settlement.,
74. She refrained ... (A. at B. off C. from D. in),
smoking,
75. Birds whistle while bears .... [A. gibber B. purr,
C. growi D. bellow).,
76. I am not surprised that Zali had a road accident; he,
was always driving too fast... [A isn't the B. wasn't,
he didn't he D. did he]?,
77. Oduma had..... enough money to pay the fines so,
he went to jail for distributing libellous (A. no I brchures B. not/ circulars C.no/publications,
D not/pamphlets),
78. The principal said he .... so many visitors that day,www.myschoolgist.com
that he [A. had been having/tolt B. has been,
having tools C. was having/teels D. is having/,
field] exhausted,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

79. His mother always reprimands him for being a.....,
IA. vicious B. veracious C. vivacious,
D. voracious) reader of cheap novels.,
80. Femi has been .......... (A. lacking B lagging,
C. larking D. lurking) behind in classwork.,
"81. Judging... (A. at B. through C. with D. by] his face,",
he is not guilty,
"82. What were the... (A. spices B. desserts C, diets",
D. condiments) served in the restaurant?,
83. She ......... her hair ....... in the room before we left,
[A. smoothened off B. smoothed on,
C. smoothened/up,
D. smoothed/down),
84. This is a village where... knows ..... [A. everyone /,
everyone else B. anyone/anyone C. every per.,
son / themselves D. someone / someone else).,
85. 'Did you say that you saw him .... [A. crossed B.,
C. to be crossing D. crosses) the road yesterday?',
"In each of questions 86 to 88, choose the option that has the same vowel sound as the one represented by",
the letter(s) underlined.,
86. key,
A sit B. bet C. seat D. tread,
87. taught,
A. law B. aunt C. count D. plateau,
88. Dutch,
A. lottery B. love C. loud D. lurch,
"In each of questions 89 to 91, choose the option that has the same consonant sound as the one represented",
by the letter(s) underlined.,
www.myschoolgist.com,
89. both,
A. bother B. thaw C. the D. there,
90. bouquet,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

A. bucket B. banquet C. liquid D. squeeze.,
91. houses,
A. rice B. rise C. curse D. course,
"In each of questions 92 to 94, choose the option that rhymes with the given word.",
92. say,
A. treason,
"B. weigh,",
C. fright,
D. saw.,
93. knew,
A. tool,
B. dawn,
C. night,
D. queue.,
94. toy,
A. torn B. take C. foil D. tour.,
"In each of questions 95 to 97, choose the appropriate",
stress pattern from the options. The syllables are written in capital letters.,
95. comfortable,
A. COMfortable B.com FORtable,
C. comfortaBLE D. comforTAble.,
96. incapacitate,
A. inCApacitate B. incaPAcitate,
C. INcapacitate D. incapaciTATE.,
97. encouragement,
A. ENcouragement,
B. encouragement,
C. encouRAgement,
D. encourageMENT.,
"In each of questions 98 to 100, the word in capital letters has the emphatic stress. Choose the option to",www.myschoolgist.com
which the given sentence relates.,
98. THEIR children speak better French than English.,
A. Do their husbands speak better French than,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

English?,
B. What language do their children speak better,
than English?,
C. Do their children speak better French than,
English?,
D. Whose children speak better French than,
English?,
"99 They RAN to the playground,",
A. Where did they run to?,
B. Did they walk to the playground?,
C. Who ran to the playground?,
D. Did they run from the playground?,
100. Timi BOUGHT a new car.,
A. Did Timi hire a new car?,
B. Does Timi deal in cars?,
C. Has Timi acquired a new car?,
D. Does Timi have a new car?,
www.myschoolgist.com,
USE OF ENGLISH 2009,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

PASSAGE I,
Nigeria is currently faced with two major problems which necessitate the use of the broadcast media to,
satisfy the ever-increasing demand for qualitative education in the country. These are population explosion,
and debilitating mass poverty. Population explosion in the country has greatly increased the need for more,
"schools so much that demand now far outstrips provision of education opportunities, particularly at the post-",
"secondary level. In addition, the Nigerian society is currently handicapped by a crippling economic crisis which",
"has forced many people out of school as a result of growing inability to meet the cost of training, like tuition",
fees and board charges.,
,A way out of these problems lies in the provision of educational opportunities through the use of radio and
television broadcast. Only when radio and television are fully utilized for teaching and learning can the,
"foundation be laid for mass education in the country. Besides, using radio and television to transmit",
educational programmes can cut the cost of education as boarding and tuition will become unnecessary for,
"most beneficiaries. At the moment, many Nigerians are unable to enrol to stay on in school because of the",
high cost of education and because government is unable to provide the staggering amount needed to finance,
mass education via the traditional school system,
.,
,Also of importance is the fact that radio and television will offer good opportunities for the standardization
"of education in the country. At the moment, the best school in terms of facilities and qualified teachers are",
concentrated in the urban centres to the detriment of the rural areas. This has given rise to imbalance and,
"uneven distribution of qualitative education in the country, so much so that experienced and qualified",
"teachers often reject posting to rural schools, while over-concentration leads to under-utilization of capable",
hands in urban schools. Since educational broadcasting involves the best brains producing and broadcasting,
educational materials from one central location and reaching out simultaneously to scattered audience in the,
"rural and urban areas, the quality of educational provision will be made even throughout the country.",
,The usual argument against the use of radio and television for teaching is the absence of immediate
feedback which is thought to be essential for learning. But this handicap is more than compensated for by the,
"listener’s or watcher’s ability to record and play back as often as he or she likes, any part of the lesson he or",
"she may find confusing or difficult to understand. Besides, support facilities like telephone and postal services",
"may be used to clarify difficulties or answer students’ questions. In addition, since Nigeria is still largely an",
"ornate society, using radio and television for direct teaching will not pose a serious communication problem.",
A beginning must therefore be made to promote aggressive school broadcast in the country.,
1. The passage suggests that the greatest problem of mass education in Nigeria are,
A. the absence of educational broadcasts and underutilization of urban teachers,www.myschoolgist.com
B. the reluctance of most teachers to work in rural areas and the fact that Nigeria is an ornate society,
C. the absence of immediate feedback in the teaching process and lack of teaching facilities,
D. widespread penury and ever-increasing demand for formal education,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

2. Which of the following can be concluded from the passage?,
A. the Nigerian government does not use radio and television for teaching,
B. telephone and postal services are inimical to effective school broadcasting,
C. the formal education system is more expensive than the non-school type,
D. Nigerians reject teaching and learning through radio and television because of lack of immediate feedback,
"3. According to the passage, the major advantages of educational broadcasts may be summarized as",
"A. mass outreach, reduced costs and equal educational opportunities",
"B. mass education, reduced poverty level and qualitative education",
C. mass access to qualitative education and reduction of the cripple economic crisis,
"D. increased number of schools, reduced cost of schooling and enhanced mass education",
"4. From the last sentence of the passage, it can be deduced that educational broadcasting is",
A. unknown in Nigeria,
B. rarely used in Nigeria,
C. often used in Nigeria,
D. randomly used in Nigeria,
5. A suitable title for this passage is,
A. the role of radio and television in Nigeria Education,
B. why Nigeria teachers should use radio and television for teaching,
C. the need to promote teaching and learning through radio and television in Nigeria,
D. Enhancing school broadcasting for effective teaching and learning in Nigeria,
PASSAGE II,
The standardization processes of Nigerian pidgin seems to have started during the post-colonial period.,
"Naturally, Nigerian pidgin appears to be the first choice of most Nigerians in informal situations, especially",
"when they are among those from different ethnic and linguistic background. Thus, the selection process has",
"tactically taken place. Among all the languages used in Nigeria today, English inclusive, Nigerian pidgin could",
"be said to be the most widely spoken. Evidence abounds in motor parks, parties, congregations and most",
"social occasions. There is also ample evidence in the electronic and print media, especially in political",
"propaganda, campaigns and product advertisement. Thus, in terms of spread and extensive use, Nigerian",
pidgin could rightly be called a national lingua franca.,
,"The use of Nigerian pidgin in contemporary Nigerian could be described as most productive, extensive and"
"complex. It appears that the standardization processes-selection, codification, elaboration of functions and",
"acceptance-which started in the post-colonial era, are as now being completed in contemporary Nigeria. The",
"reason for this assumption is simple-apart from its complex use as a lingua franca, languages of media",www.myschoolgist.com
"advertisement, social interaction, unofficial military training and limited literary output, Nigerian pidgin gas",
"attained widespread acceptability in the media, political propaganda and campaigns as well as soap operas. It",
is also the language of radio and television jingles. Most electronic media now use appreciable percentage of,
their airtime to cast news and give reports in Nigeria pidgin. Even though its use in some newspaper columns,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"has declined, especially with the demise of the ‘Waka About’ column in the Daily Times, it is however found",
extensively in some newspaper advertisements,
.,
,"In places like Warri, Sapele and Port Harcourt, there were reports that teachers at lower primary level taught"
their pupils in Nigerian pidgin. This unofficial adoption of the Nigerian pidgin as the language of the lower,
primary education by those teachers is justifiable considering the provision in the National Policy on,
"Education, which states that in addition to English, the major language in the child’s environment could be",
"used at the elementary level of education. Similarly, Nigerian pidgin has become a language of religious",
"preaching, especially Christianity. In most rural and even urban centres where congregation are not all very",
"well-educated, pastors resort to the use of Nigerian pidgin.",
,The use of the Nigerian pidgin as a literary language tends to have started in the sixties with the work of
"Achebe, Soyinka and others. But it is in the contemporary times that it has become most widespread. The",
"number of poems, novels and plays written and published in Nigerian pidgin is growing even more rapidly.",
"Many more literary writers now attempt to experiment with the language. Therefore, the evidence of",
codification and elaboration of functions and the partial or tactical acceptance of Nigerian pidgin are clearly,
visible.,
6. The reference to the National Policy on Education in the passage implies that,
A. the government recognizes Nigerian pidgin,
B. pidgin will continue to enjoy acceptance by many Nigerians,
C. it is simple to understand,
D. Nigerian pidgin is used at all levels,
"7. From the passage, which of the following is the most important reason why Nigerian pidgin is popular?",
A. it is used in social occasions,
B. it has no ethnic affiliation,
C. it is extensively used along the coast,
D. it is used ny many creative writers,
8. The style of this passage could best be described as,
A. narrative only,
B. narrative and expository,
C. persuasive and argumentative,
D. descriptive only,
"9. According to the passage, the phrase 'lingua franca' means",
A. Nigerian pidgin,www.myschoolgist.com
B. common language,
C. second language,
D. mother tongue,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"10. The fact that Nigerian pidgin is used in primary education in places like Warri, Sapele and Port Harcourt",
suggests that it is,
A. universally accepted,
B. a lingua franca,
C. a language of instruction,
D. Nigeria's second lingua franca,
PASSAGE III,
"Millons of people today are in serious ‘debt’. This can be a major factor in wrecking their cars, damaging their",
careers and even ruining their marriages. It can adversely affect their health and lifespan. It is a deficit that,
"contributes to immune suppression, creating susceptibility to various infections. Conditions as different as",
"diabetes, heart diseases, and extreme obesity, as well as other health problems have been linked to it. Yet,",
most victims are oblivious of this debt. The debtor is the one who does not have enough sleep needed for,
well-being. This can be caused by voluntary sleep deprivation resulting from a person’s life-style or by,
involuntary sleep deprivation because of illness and other causes. Medical researchers estimate that the,
earth’s population is now getting on the average an hour less sleep per into both the variety of sleep-related,
illnesses and their impact on the quality of life.,
"The medical world once viewed the chronic inability to sleep as just one disorder, commonly called insomnia.",
"However, a commission created by the U.S. Congress recognized 17 distinct sleep disorders. At any rate,",
"insomnia has so many causes that it is often considered to be a sympt5om of other problems, much as fever",
suggests some sort of infection. Even occasional deprivation of sleep can be disastrous. Consider the case of,
"Tom, although an experienced truck driver, he plunged his 18-wheel vehicle over an embankment, spilling 400",
litres of sulphuric acid onto a major highway. Tom admits: ‘I fell asleep.’ Students of two U.S. highways,
estimated that drowsy drivers caused some 50 per cent of the fatal crashes.,
"With hundreds of thousands of sleep-related auto and other accidents happening annually, the worldwide",
coast to productivity and family is enormous. What factors may contribute to lack of sleep? ‘One is the social,
"phenomenon often called 24/7- operating 24 hours a day, seven days a week. The newspaper, USA Today,",
"described this as a cultural earthquake that is changing the way we live, noting that a new wave of round-the-",
"clock retailers and services is profiting by mocking the clock. In many lands, people watch all-night television",
programmes and access the internet when they should be sleeping. Then there is the toll taken by emotional,
"disorders, often involving anxieties heightened by stress occasioned by the pace of life. Also, there are a",
variety of physical diseases that can contribute to lack of sleep.,
Many doctors note how difficult it is to get their patients to take sleep seriously. One doctor complained that,www.myschoolgist.com
chronic fatigue is even considered ‘a status symbol’ by some. And because their condition often worsens very,
"gradually, victims of sleep deprivation may not recognize that they suffer from a serious sleep disorder. Many",
"of them reason, ‘I’m just getting old’ or I’ can’t cope with life, so I tend to shut down’ or ‘I’m tired all the time",
because I can never get the long rest I need.’ Reversing this sleep debt is a complex challenge. But,
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

understanding how a healthful sleep cycle works and learning to identify the signs of sleep debt can provide,
the motivation to change. Recognizing the symptoms of a serious sleep disorder can save lives and this should,
"be a warning to many Nigerians, particularly those who engage in long night journeys.",
11. Which of the following is true according to the passage?,
A. lack of sleep is caused by either a person's lifestyle or involuntary sleep and not by both,
B. voluntary sleep deprived can be attributed to the way in which an individual life,
C. some illness causes sleep disorder which can be both voluntary and in voluntary,
D. healthful sleep is needed only for one's well-being,
12. The -passage suggests that,
A. medical doctors have found 17 distinct sleep disorder,
B. inability to sleep was once considered to be chronic,
C. insomnia and fever are medical conditions that are indicative of other problems,
D. the U.S. Congress has recognized that insomnia is a symptom of other problems,
"13. The expression 'mocking the clock' as used in the passage, captures the",
A. phenomenon of retailers making a lot of profit because they operate at night,
B. fact that retail business is a waste of time,
C. total disregard of time by retailers and services,
D. fact that the time available to retailers and services is not enough to do good business,
"14. In the first sentence of the passage, the word 'debt' is quoted because",
A. it has been used for a special effect,
B. it has been used in the first sentence,
C. of the seriousness of the matter it addresses,
D. it is capable of destroying people,
"15. From the passage, doctors find it hard to convince their patients of the gravity of lack of sleep because",
A. it is caused by a variety of reasons,
B. the patients are often tired and cannot get enough sleep,
C. people believe that it enhances one's personality,
D. its impact on the patient is slow,
PASSAGE IV,
"The passage below has gaps numbered 16 to 25. Immediately following each gap, four options are",
provided. Choose the most appropriate option for each gap. Each question carries 2 marks.,
Business executives selling industrial and high price-tag customer goods have come to the……16…..[A.,
realization B. conclusion C. level D. point] that there should be a better approach to buyer-seller……17……[A.,www.myschoolgist.com
"relationship B. existence C. agreement D. friendship]. In Nigeria, a new brand of salesmanship is emerging.",
"Today, such……18….[A. concepts B. words C. clauses D. definitions] as consultative selling, relationship",
marketing and value-added selling have become common catchphrases with professional salespeople.,
"Salespeople are now….19….[A. emerging B. reversing C. dangling D. shifting] from pushy, hard-selling to",
Download MySchoolGist JAMB CBT Software from https://www.myschoolgist.com/cbt/,

"consultations, playing business advisory and problem-solving roles for their customers. Customers ….20….[A.",
interest B. awareness C. view D. service] has assumed a higher dimension. Salespeople and their companies,
are beginning to realize that the only way to stay in business and possibly be ahead of….21….[A. distribution,
B. competition C. consumption D. production] is to give adequate attention to the needs of customers.,
Salespeople and business executives are beginning to understand that customer….22….[A. respect B. dignity,
C. loyalty D. obedience] is what ensures a robust bottom line. The only way to do this is to give special,
